"Do tohoto souboru NEPŘIDÁVEJTE žádné MEZIVÝSLEDKY. Právo úprav máte pouze k tomu, abyste mohli rozšířit dataset přidáním páru (výška, váha)!",
Výška v centimetrech,Váha v kilogramech
160,60
168,60
168,58
169,96
170,70
170,62
172,61
172,79
175,72
177,62
180,86
180,60
180,75
180,70
181,76
183,65
183,77
183,87
183,76
184,65
185,90
185,65
185,80
185,72
185,85
186,110
189,85
190,75
190,70
191,70
193,71
194,87
195,95
178,73
187,85
195,88
167,63
195,79
177,80
175,70
190,92
186,75
190,85
